
Number of classifiers trained 6
Test set split in 20 batches
Average accuracy achieved on the test set 0.09999999999999998
Average precision achieved on the test set 0.010117200000000002
Average recall achieved on the test set 0.09999999999999998
Average F1 achieved on the test set 0.018357771198634014
Statistics per batch in order Precision, Accuracy,Recall, F1 score :
Batch 0 Statistics: [0.009506249999999999, 0.0975, 0.0975, 0.017323462414578588]
Batch 1 Statistics: [0.013340250000000001, 0.1155, 0.1155, 0.02391797400268938]
Batch 2 Statistics: [0.0072250000000000005, 0.085, 0.085, 0.013317972350230417]
Batch 3 Statistics: [0.01177225, 0.1085, 0.1085, 0.02123996391520072]
Batch 4 Statistics: [0.00874225, 0.0935, 0.0935, 0.015989483310470967]
Batch 5 Statistics: [0.009506249999999999, 0.0975, 0.0975, 0.017323462414578588]
Batch 6 Statistics: [0.013340250000000001, 0.1155, 0.1155, 0.02391797400268938]
Batch 7 Statistics: [0.0072250000000000005, 0.085, 0.085, 0.013317972350230417]
Batch 8 Statistics: [0.01177225, 0.1085, 0.1085, 0.02123996391520072]
Batch 9 Statistics: [0.00874225, 0.0935, 0.0935, 0.015989483310470967]
Batch 10 Statistics: [0.009506249999999999, 0.0975, 0.0975, 0.017323462414578588]
Batch 11 Statistics: [0.013340250000000001, 0.1155, 0.1155, 0.02391797400268938]
Batch 12 Statistics: [0.0072250000000000005, 0.085, 0.085, 0.013317972350230417]
Batch 13 Statistics: [0.01177225, 0.1085, 0.1085, 0.02123996391520072]
Batch 14 Statistics: [0.00874225, 0.0935, 0.0935, 0.015989483310470967]
Batch 15 Statistics: [0.009506249999999999, 0.0975, 0.0975, 0.017323462414578588]
Batch 16 Statistics: [0.013340250000000001, 0.1155, 0.1155, 0.02391797400268938]
Batch 17 Statistics: [0.0072250000000000005, 0.085, 0.085, 0.013317972350230417]
Batch 18 Statistics: [0.01177225, 0.1085, 0.1085, 0.02123996391520072]
Batch 19 Statistics: [0.00874225, 0.0935, 0.0935, 0.015989483310470967]
