
Number of classifiers trained 5
Test set split in 20 batches
Average accuracy achieved on the test set 0.1
Average precision achieved on the test set 0.0100123
Average recall achieved on the test set 0.1
Average F1 achieved on the test set 0.018200276208641532
Statistics per batch in order Precision, Accuracy,Recall, F1 score :
Batch 0 Statistics: [0.00990025, 0.0995, 0.0995, 0.018008640291041385]
Batch 1 Statistics: [0.009025, 0.095, 0.095, 0.016484018264840184]
Batch 2 Statistics: [0.011236, 0.106, 0.106, 0.02031826401446654]
Batch 3 Statistics: [0.01, 0.1, 0.1, 0.018181818181818184]
Batch 4 Statistics: [0.00990025, 0.0995, 0.0995, 0.018008640291041385]
Batch 5 Statistics: [0.00990025, 0.0995, 0.0995, 0.018008640291041385]
Batch 6 Statistics: [0.009025, 0.095, 0.095, 0.016484018264840184]
Batch 7 Statistics: [0.011236, 0.106, 0.106, 0.02031826401446654]
Batch 8 Statistics: [0.01, 0.1, 0.1, 0.018181818181818184]
Batch 9 Statistics: [0.00990025, 0.0995, 0.0995, 0.018008640291041385]
Batch 10 Statistics: [0.00990025, 0.0995, 0.0995, 0.018008640291041385]
Batch 11 Statistics: [0.009025, 0.095, 0.095, 0.016484018264840184]
Batch 12 Statistics: [0.011236, 0.106, 0.106, 0.02031826401446654]
Batch 13 Statistics: [0.01, 0.1, 0.1, 0.018181818181818184]
Batch 14 Statistics: [0.00990025, 0.0995, 0.0995, 0.018008640291041385]
Batch 15 Statistics: [0.00990025, 0.0995, 0.0995, 0.018008640291041385]
Batch 16 Statistics: [0.009025, 0.095, 0.095, 0.016484018264840184]
Batch 17 Statistics: [0.011236, 0.106, 0.106, 0.02031826401446654]
Batch 18 Statistics: [0.01, 0.1, 0.1, 0.018181818181818184]
Batch 19 Statistics: [0.00990025, 0.0995, 0.0995, 0.018008640291041385]
