
Number of classifiers trained 5
Test set split in 20 batches
Average accuracy achieved on the test set 0.519975
Average precision achieved on the test set 0.6117018442151643
Average recall achieved on the test set 0.519975
Average F1 achieved on the test set 0.5265057274263977
Statistics per batch in order Precision, Accuracy,Recall, F1 score :
Batch 0 Statistics: [0.22116817879437242, 0.1815, 0.1815, 0.1630205277169756]
Batch 1 Statistics: [0.29809336572475403, 0.1655, 0.1655, 0.1482067152217329]
Batch 2 Statistics: [0.258279136713199, 0.172, 0.172, 0.1705133744658338]
Batch 3 Statistics: [0.22234268049196254, 0.141, 0.141, 0.14589306636035648]
Batch 4 Statistics: [0.2358606582217473, 0.1395, 0.1395, 0.14593557525487014]
Batch 5 Statistics: [0.42487877916448435, 0.2465, 0.2465, 0.23639904186038857]
Batch 6 Statistics: [0.32644683612377035, 0.233, 0.233, 0.22430821238171467]
Batch 7 Statistics: [0.35959000172957606, 0.2305, 0.2305, 0.22188552666444622]
Batch 8 Statistics: [0.4349935686367078, 0.2285, 0.2285, 0.21705587888279587]
Batch 9 Statistics: [0.4290453228417968, 0.2285, 0.2285, 0.2147084346649539]
Batch 10 Statistics: [0.8418237301904598, 0.727, 0.727, 0.764293051561243]
Batch 11 Statistics: [0.8346505566484355, 0.73, 0.73, 0.7607481398807044]
Batch 12 Statistics: [0.8545617906576364, 0.767, 0.767, 0.7938774811692633]
Batch 13 Statistics: [0.8781050670444286, 0.8025, 0.8025, 0.8308981379236542]
Batch 14 Statistics: [0.8679102122272081, 0.7895, 0.7895, 0.8149165979786895]
Batch 15 Statistics: [0.933127059063196, 0.8945, 0.8945, 0.9125069664648]
Batch 16 Statistics: [0.9342617317082508, 0.9045, 0.9045, 0.9182408424992865]
Batch 17 Statistics: [0.9451724812682503, 0.926, 0.926, 0.9350112198015952]
Batch 18 Statistics: [0.9659784162130869, 0.9445, 0.9445, 0.9545885621500414]
Batch 19 Statistics: [0.9677473108399608, 0.9475, 0.9475, 0.957107195624607]
