
Number of classifiers trained 9
Test set split in 20 batches
Average accuracy achieved on the test set 0.5374749999999999
Average precision achieved on the test set 0.621814189697501
Average recall achieved on the test set 0.5374749999999999
Average F1 achieved on the test set 0.5509452729991449
Statistics per batch in order Precision, Accuracy,Recall, F1 score :
Batch 0 Statistics: [0.19687608337058646, 0.1215, 0.1215, 0.12847611975799844]
Batch 1 Statistics: [0.1886891410889555, 0.106, 0.106, 0.11237378749180825]
Batch 2 Statistics: [0.21616274493767182, 0.1085, 0.1085, 0.11942189615259238]
Batch 3 Statistics: [0.18415389043402486, 0.083, 0.083, 0.09046530321758874]
Batch 4 Statistics: [0.18607081206976636, 0.076, 0.076, 0.08334580604315217]
Batch 5 Statistics: [0.4800581157797113, 0.341, 0.341, 0.35336636775109276]
Batch 6 Statistics: [0.48190027335577545, 0.345, 0.345, 0.3588351942679501]
Batch 7 Statistics: [0.4882692599066239, 0.368, 0.368, 0.38343881686049497]
Batch 8 Statistics: [0.5093322882761475, 0.3745, 0.3745, 0.3925942443807439]
Batch 9 Statistics: [0.5309475901433311, 0.375, 0.375, 0.39867888390182343]
Batch 10 Statistics: [0.8513566484772812, 0.7555, 0.7555, 0.7780593696266307]
Batch 11 Statistics: [0.8513687528927217, 0.771, 0.771, 0.7933247216106503]
Batch 12 Statistics: [0.8646454456860141, 0.786, 0.786, 0.808929678666707]
Batch 13 Statistics: [0.8609077999668933, 0.792, 0.792, 0.8081461845847598]
Batch 14 Statistics: [0.8653404636641795, 0.799, 0.799, 0.8121636354545055]
Batch 15 Statistics: [0.9327959635203056, 0.899, 0.899, 0.9126559860199244]
Batch 16 Statistics: [0.9263606178799344, 0.89, 0.89, 0.90386101085169]
Batch 17 Statistics: [0.9240418498687395, 0.898, 0.898, 0.907670297853153]
Batch 18 Statistics: [0.9469854030707618, 0.927, 0.927, 0.9337584010647858]
Batch 19 Statistics: [0.950020649560594, 0.9335, 0.9335, 0.9393397544248439]
